Gemeenten,Jaar,totaal_co2,totaal_co2_ext_weg,co2_woningen,co2_gasgebruik,co2_elek,co2_gebouwde_omg
Aa en Hunze,2017,197900,171900,52746,,51245,86166
Aalsmeer,2017,244500,244500,50028,105881,104183,
Aalten,2017,127400,127400,46738,47121,44332,69423
Achtkarspelen,2017,150000,150000,48105,64327,44623,66715
Alblasserdam,2017,147900,133600,27348,48087,60591,55535
Albrandswaard,2017,115100,110000,37524,,37059,66695
Alkmaar,2017,554800,551400,162909,,222808,300415
Almelo,2017,544300,493700,120702,149546,265697,220422
Almere,2017,801300,672800,226272,121059,324225,415207
Alphen aan den Rijn,2017,468200,434900,161904,156851,165426,279896
Alphen-Chaam,2017,66800,66800,20273,24349,19868,29777
Altena,2017,398300,308900,90533,94494,102780,133772
Ameland,2017,35100,35100,7329,13432,10975,22935
Amersfoort,2017,749300,574300,217656,207300,238978,419428
Amstelveen,2017,,,142976,,164158,
Amsterdam,2017,4382400,4090500,1097753,1387266,1959045,2918580
Apeldoorn,2017,1156200,879100,265229,348312,361620,544011
Arnhem,2017,928900,742700,232885,241809,306503,487788
Assen,2017,337600,291600,110088,116866,106799,202226
Asten,2017,256700,207400,29334,127917,52287,51537
Baarle-Nassau,2017,65600,65600,12632,,33799,22204
Baarn,2017,151200,114000,48982,50028,35473,79772
Barendrecht,2017,,,68604,,97526,132974
Barneveld,2017,468100,331500,90580,114282,138003,187674
Beek,2017,131900,91600,31081,,37948,
Beekdaelen,2017,194700,167800,75030,,56848,
Beemster,2017,130900,78100,16366,,24489,24740
Beesel,2017,93300,73000,24213,30260,29918,35906
Berg en Dal,2017,186700,186700,62087,,49214,97775
Bergeijk,2017,112300,112300,36031,38075,43042,58198
Bergen (L.),2017,123400,123100,24683,55432,32655,38887
Bergen (NH.),2017,150000,150000,63836,64648,44897,99390
Bergen op Zoom,2017,,,103981,,331947,190891
Berkelland,2017,320000,320000,81128,136331,108805,122002
Bernheze,2017,215800,151200,53706,49199,57371,78857
Best,2017,231600,171500,49709,48438,93761,105893
Beuningen,2017,216900,141300,43051,51452,47826,65232
Beverwijk,2017,214400,190800,62072,,62894,111653
Bladel,2017,145300,124200,35296,42523,54772,62706
Blaricum,2017,66300,47600,24926,21682,17903,36720
Bloemendaal,2017,111100,109900,51813,48250,38612,82249
Bodegraven-Reeuwijk,2017,294800,158800,55033,56431,70521,98344
Boekel,2017,68000,68000,18327,34063,24025,27836
Borger-Odoorn,2017,131100,129200,54116,54109,37700,76819
Borne,2017,113800,77600,37612,32255,27955,53804
Borsele,2017,,,35006,,235820,73071
Boxmeer,2017,301600,228700,51613,86039,99362,88416
Boxtel,2017,257800,175300,54608,63012,78557,95172
Breda,2017,1073000,830600,280902,290726,346232,547153
Brielle,2017,168200,163800,27798,96353,41695,43112
Bronckhorst,2017,290800,290800,72890,142407,73542,103709
Brummen,2017,401100,398100,37948,276859,84692,59698
Brunssum,2017,119400,118900,53097,,45292,
Bunnik,2017,128000,86600,25683,,33010,51064
Bunschoten,2017,145600,145400,33336,61422,61227,58581
Buren,2017,145500,138100,48441,42944,42145,70143
Capelle aan den IJssel,2017,236400,224100,93298,67174,95335,165734
Castricum,2017,146300,121300,60480,53228,38906,85253
Coevorden,2017,320700,277500,66628,109204,119241,115248
Cranendonck,2017,,,39440,62135,,61971
Cuijk,2017,263800,212200,41593,77667,102060,72299
Culemborg,2017,130800,100800,38893,36636,45656,73597
Dalfsen,2017,169500,167000,49445,53387,55997,71921
Dantumadiel,2017,74100,71500,32529,30282,20204,42871
De Bilt,2017,264000,206000,85048,,71090,149637
De Fryske Marren,2017,429800,339600,87915,,118517,
De Ronde Venen,2017,299700,230200,72786,82317,75253,115822
De Wolden,2017,206700,148400,47149,45382,64470,65780
Delft,2017,556700,502000,138387,205228,232306,308240
Den Haag,2017,1990600,1871000,765006,685048,851322,1494720
Den Helder,2017,319100,319100,90980,105017,146126,
Deurne,2017,220900,188000,58685,73706,67988,91859
Deventer,2017,600900,497300,151252,185691,216623,266369
Diemen,2017,162900,120000,38781,28576,64492,80827
Dinkelland,2017,174000,163200,53060,64053,51270,80685
Doesburg,2017,53200,53200,18561,16787,24127,27601
Doetinchem,2017,360100,324800,94537,132281,136934,171731
Dongen,2017,278700,277500,42237,158724,98000,64208
Dordrecht,2017,680700,573700,176132,188661,250523,338497
Drechterland,2017,106800,106600,32448,44181,33581,44230
Drimmelen,2017,205600,174000,46542,85672,52159,67251
Dronten,2017,276700,248800,60596,64431,86792,113853
Druten,2017,120600,109000,31034,37211,32873,46275
Duiven,2017,146200,108000,36182,21611,49997,68185
Echt-Susteren,2017,260400,181200,62608,,60942,95597
Edam-Volendam,2017,166000,158700,63607,,65417,
Ede,2017,717200,549900,185618,200007,231644,352686
Eemnes,2017,98200,37500,15113,,11873,23662
Eemsdelta,2017,,,87364,,639284,136645
Eersel,2017,144200,104600,35462,36695,40294,58048
Eijsden-Margraten,2017,,,50229,,52200,
Eindhoven,2017,,,362185,,592481,768451
Elburg,2017,131500,100000,36578,39800,35292,60801
Emmen,2017,,,198792,,258108,325514
Enkhuizen,2017,118000,118000,29023,45627,55902,51200
Enschede,2017,764800,725600,253333,261730,315853,461860
Epe,2017,240000,185100,62526,76578,68860,98510
Ermelo,2017,205200,181400,43836,,62226,88905
Etten-Leur,2017,,,70795,,146933,124605
Geertruidenberg,2017,184700,127800,34509,36545,69929,63144
Geldrop-Mierlo,2017,215900,167500,69213,69697,,105947
Gemert-Bakel,2017,174900,174900,52758,60148,69797,79427
Gennep,2017,145500,137700,30971,39115,70636,57232
Gilze en Rijen,2017,185600,142200,42816,47514,64763,81907
Goeree-Overflakkee,2017,326600,295300,78357,92922,88926,145046
Goes,2017,254900,198400,58861,80586,80131,123989
Goirle,2017,93400,84800,40271,,35040,59223
Gooise Meren,2017,405000,256200,113287,111749,94563,186214
Gorinchem,2017,315300,248400,50994,125687,85128,99267
Gouda,2017,306000,305700,99114,138547,121663,181551
Grave,2017,52200,52200,20946,19623,16645,33443
Groningen,2017,,,368645,,420481,
Gulpen-Wittem,2017,82900,82900,29170,32718,25631,45930
Haaksbergen,2017,140000,140000,43033,44169,59724,66052
Haarlem,2017,607000,604300,241306,247673,249051,446263
Haarlemmermeer,2017,1717900,1285800,224879,,681854,831073
Halderberge,2017,183400,162800,53622,63589,61696,82924
Hardenberg,2017,401800,369000,102379,120970,156784,
Harderwijk,2017,271600,221600,68022,87872,86261,130193
Hardinxveld-Giessendam,2017,125700,70800,25793,24877,27882,39051
Harlingen,2017,131600,124300,25349,,38867,45525
Hattem,2017,110300,59700,21114,,21257,31321
Heemskerk,2017,141700,124100,58366,55155,45802,
Heemstede,2017,106300,106300,52538,47723,37971,76484
Heerde,2017,127800,90000,33772,38792,32014,51011
Heerenveen,2017,394400,317700,85393,142877,118933,178853
Heerhugowaard,2017,305600,305600,75569,134839,97161,126805
Heerlen,2017,538700,467600,160389,,209171,
Heeze-Leende,2017,117900,80600,30724,,30826,48759
Heiloo,2017,98900,81500,41213,37399,29224,62172
Hellendoorn,2017,224200,224200,61744,81654,92837,94982
Hellevoetsluis,2017,137900,127900,60158,,48740,86375
Helmond,2017,,,137577,,243496,243643
Hendrik-Ido-Ambacht,2017,118000,93900,40846,37555,34662,58826
Hengelo,2017,750100,689700,141004,444070,175219,252463
Het Hogeland,2017,522700,518600,91371,,248002,
Heumen,2017,102700,77100,29782,25717,22509,43855
Heusden,2017,333200,286500,75714,154353,91398,108928
Hillegom,2017,91500,91500,33402,35776,39573,55985
Hilvarenbeek,2017,90100,83800,28915,27150,30681,46536
Hilversum,2017,415400,384500,155234,159046,157102,298392
Hoeksche Waard,2017,559400,479900,136617,151756,149583,209782
Hof van Twente,2017,239500,238800,65315,,87473,102036
Hollands Kroon,2017,810600,745600,80318,,120911,140645
Hoogeveen,2017,419700,335100,94459,165162,123750,160176
Hoorn,2017,274800,270500,107439,105314,112027,187936
Horst aan de Maas,2017,505700,458600,77159,250412,137981,134128
Houten,2017,238500,209100,65235,,74395,112244
Huizen,2017,160800,148900,70813,,52983,
Hulst,2017,212300,212300,49739,50312,43345,75673
IJsselstein,2017,119700,116900,48592,,45839,72104
Kaag en Braassem,2017,227000,164500,43142,,48689,
Kampen,2017,347900,321400,76576,158528,94062,131174
Kapelle,2017,116600,90100,18757,36884,27272,33045
Katwijk,2017,260800,258200,89428,113706,103094,154951
Kerkrade,2017,293100,290000,89242,127154,128693,
Koggenland,2017,195300,150000,35684,,43273,50002
Krimpen aan den IJssel,2017,94500,94500,43934,39848,37457,65901
Krimpenerwaard,2017,267100,267100,88322,81564,82040,133744
Laarbeek,2017,202700,202700,39383,105987,52101,59717
Landerd,2017,117700,90000,28002,27250,27758,44592
Landgraaf,2017,142400,139600,69009,63555,52735,100427
Landsmeer,2017,,,19086,,12828,26462
Langedijk,2017,117800,117800,41594,49632,38738,61139
Lansingerland,2017,845200,823800,84556,,218215,152405
Laren,2017,95400,59800,29503,,21949,
Leeuwarden,2017,699500,646500,191027,278285,220496,360775
Leiden,2017,541000,487000,168220,157933,226665,359906
Leiderdorp,2017,121400,93500,40366,35048,35772,70489
Leidschendam-Voorburg,2017,324500,256100,120164,111146,90148,
Lelystad,2017,603700,455600,111942,,163101,220728
Leudal,2017,285600,239700,72148,88673,80093,112568
Leusden,2017,153200,125700,48542,45318,43970,82365
Lingewaard,2017,284800,282000,77525,136627,66424,114197
Lisse,2017,89700,89200,34745,33592,36454,58231
Lochem,2017,270900,261100,67133,110654,83121,100438
Loon op Zand,2017,118800,99500,40921,37302,44680,74894
Lopik,2017,94500,94500,23701,21918,24836,34039
Losser,2017,130400,113600,42306,44052,37443,61460
Maasdriel,2017,260500,213000,44716,84350,67991,70055
Maasgouw,2017,181300,141100,49229,58771,53364,72221
Maassluis,2017,95300,95300,46783,39890,34475,65306
Maastricht,2017,,,205332,,368855,
Medemblik,2017,436800,402300,73012,241709,108707,120356
Meerssen,2017,101400,78700,38676,35733,27374,51516
Meierijstad,2017,738100,660800,137086,278795,265505,241447
Meppel,2017,268100,228100,55270,93755,97585,107247
Middelburg,2017,268100,246000,72343,126551,85752,
Midden-Delfland,2017,376900,313700,27428,,83856,45555
Midden-Drenthe,2017,344700,272000,60803,,84107,104457
Midden-Groningen,2017,791200,719800,112378,296525,353102,161369
Mill en Sint Hubert,2017,65700,65700,20756,25162,22636,31303
Moerdijk,2017,,,63777,,479956,157743
Molenlanden,2017,306300,276100,67777,,94607,
Montferland,2017,199800,186200,63583,,67468,
Montfoort,2017,64400,64400,22066,20602,23021,34822
Mook en Middelaar,2017,35800,35800,16453,15477,11399,21822
Neder-Betuwe,2017,275700,189200,37493,59633,55282,61074
Nederweert,2017,104600,104600,32527,34257,40180,49059
Nieuwegein,2017,372800,292800,84399,55261,141204,185092
Nieuwkoop,2017,177600,177600,43844,88645,52352,67725
Nijkerk,2017,272900,241100,64808,88233,106655,125396
Nijmegen,2017,916800,874300,250076,301955,378903,536204
Nissewaard,2017,335000,335000,124920,126856,133461,189122
Noardeast-Fryslân,2017,239000,238000,77391,86070,82724,114810
Noord-Beveland,2017,61800,55800,14529,16302,19057,29251
Noordenveld,2017,321600,321600,62015,62168,215430,96600
Noordoostpolder,2017,658700,555300,72176,293505,143278,141966
Noordwijk,2017,230100,227900,71013,88191,91325,148301
Nuenen c.a.,2017,111000,103500,44242,39205,35983,61567
Nunspeet,2017,215400,161300,45143,70352,62142,88418
Oegstgeest,2017,89800,73100,38270,30302,26305,56356
Oirschot,2017,197700,121000,34327,50563,41847,62108
Oisterwijk,2017,188800,147800,58756,,55994,95285
Oldambt,2017,501600,465300,76490,142186,271777,120190
Oldebroek,2017,157100,103900,38471,43092,37021,58964
Oldenzaal,2017,189500,178100,56244,68743,77576,102126
Olst-Wijhe,2017,111800,111800,30992,34070,41534,57823
Ommen,2017,268900,255200,31255,40883,163501,57106
Oost Gelre,2017,188400,188400,51340,62977,78251,89770
Oosterhout,2017,440100,357800,90199,,165354,190070
Ooststellingwerf,2017,150800,148400,46479,52703,52346,69281
Oostzaan,2017,59800,35900,15709,14770,14714,22950
Opmeer,2017,57200,57200,18368,21645,20599,29635
Opsterland,2017,197200,149500,51719,52125,48125,79802
Oss,2017,625000,582000,156417,212944,264572,249516
Oude IJsselstreek,2017,223000,216700,69673,73069,81745,105941
Ouder-Amstel,2017,193700,99000,20762,25437,53855,72530
Oudewater,2017,44100,44100,16926,15566,15658,26440
Overbetuwe,2017,390000,249200,78906,95223,83556,131143
Papendrecht,2017,,,46645,40425,51295,73311
Peel en Maas,2017,567000,508600,79541,321858,116690,122605
Pekela,2017,94600,90500,25643,46519,26458,
Pijnacker-Nootdorp,2017,438600,438400,68254,257781,138514,108905
Purmerend,2017,221300,210600,102207,,93327,160026
Putten,2017,170900,129100,41426,45813,51336,68344
Raalte,2017,216100,216100,62356,71876,75447,99755
Reimerswaal,2017,,,31942,,129562,68863
Renkum,2017,,,62184,,217724,
Renswoude,2017,37200,27700,8211,,10349,13319
Reusel-De Mierden,2017,66700,66700,24544,,25920,35043
Rheden,2017,204700,187300,82700,83616,62002,127576
Rhenen,2017,100000,100000,32936,,27646,50262
Ridderkerk,2017,306100,216000,67594,84034,89315,131122
Rijssen-Holten,2017,260700,187400,61858,69130,72524,104380
Rijswijk,2017,260500,229100,83855,90344,98957,164193
Roerdalen,2017,122600,102800,41555,46996,31602,58718
Roermond,2017,717100,669600,97307,351364,252327,202631
Roosendaal,2017,508700,426600,129270,174687,185339,249345
Rotterdam,2017,12066200,11677200,847706,6884117,3392486,2292940
Rozendaal,2017,8000,8000,3908,,2238,
Rucphen,2017,137700,106100,45020,43499,39352,66336
Schagen,2017,291300,291300,75201,96513,111756,138172
Scherpenzeel,2017,56100,56100,15593,18774,28953,23050
Schiedam,2017,367200,300600,108761,129305,127148,183571
Schiermonnikoog,2017,11000,11000,2417,4438,3048,6919
Schouwen-Duiveland,2017,278900,273800,62848,103648,70405,113750
's-Hertogenbosch,2017,933600,761600,245275,265559,334451,499872
Simpelveld,2017,39900,39900,21378,18104,11162,27898
Sint Anthonis,2017,75600,75600,21827,22441,28612,32540
Sint-Michielsgestel,2017,120700,120300,54151,45344,35864,74813
Sittard-Geleen,2017,,,173962,,,316334
Sliedrecht,2017,136100,104400,35178,,44004,
Sluis,2017,169900,162000,48844,54707,52952,94891
Smallingerland,2017,334100,267600,92868,104626,108978,151455
Soest,2017,217600,204000,83301,84153,76907,141923
Someren,2017,209700,186500,34710,88682,55527,52345
Son en Breugel,2017,,,33557,,70939,68641
Stadskanaal,2017,143300,137900,63752,60877,47113,94150
Staphorst,2017,168100,97200,27171,33980,35500,42220
Stede Broec,2017,89100,89100,33338,38299,33110,53998
Steenbergen,2017,489600,454400,40443,305855,76345,63419
Steenwijkerland,2017,249500,220400,78430,76388,76140,119721
Stein,2017,,,47881,41999,,71863
Stichtse Vecht,2017,488200,323500,107188,99404,90355,167110
Súdwest-Fryslân,2017,596800,517500,148659,207874,172474,247671
Terneuzen,2017,,,93070,,393607,163702
Terschelling,2017,42600,42600,9087,14421,11106,24249
Texel,2017,107400,107400,24397,36023,31859,62487
Teylingen,2017,184300,161200,54921,61615,70168,98108
Tholen,2017,194400,191100,38582,66632,42361,60374
Tiel,2017,322100,263800,65316,103925,108237,142918
Tilburg,2017,1242300,1115900,308090,,519787,583213
Tubbergen,2017,121800,121800,40961,43150,39463,60851
Twenterand,2017,170300,160600,57647,61767,67369,82610
Tynaarlo,2017,190100,157600,64623,64426,54963,98032
Tytsjerksteradiel,2017,,,53759,,84975,
Uden,2017,283500,257600,72396,92560,116508,133600
Uitgeest,2017,80000,53800,20299,16490,20033,34055
Uithoorn,2017,255700,255700,45552,164987,68277,78981
Urk,2017,88600,88600,26444,27637,43431,55007
Utrecht,2017,,,423283,,643340,
Utrechtse Heuvelrug,2017,337100,230000,96215,93613,79719,164714
Vaals,2017,44800,44800,21224,21142,14536,34323
Valkenburg aan de Geul,2017,99600,84700,33642,38807,28650,64137
Valkenswaard,2017,160300,151300,58006,58641,58128,89536
Veendam,2017,,,52705,,110718,78142
Veenendaal,2017,283900,272100,94562,101934,121319,172085
Veere,2017,123900,120700,40124,46928,39589,77915
Veldhoven,2017,292900,269900,75928,79224,153879,124047
Velsen,2017,,,105282,,1436031,
Venlo,2017,962300,827300,175761,373291,345365,374411
Venray,2017,406900,362900,76978,139004,151749,138609
Vijfheerenlanden,2017,603300,397000,83282,,145591,
Vlaardingen,2017,283500,259300,106085,116924,95333,178584
Vlieland,2017,10300,10300,1967,4435,3947,8142
Vlissingen,2017,538700,528100,66964,135063,124973,124069
Voerendaal,2017,61300,47400,25509,20771,15187,33228
Voorschoten,2017,76900,76900,41222,,27771,60643
Voorst,2017,186300,134300,45492,49903,41781,75222
Vught,2017,179800,145500,55554,,46786,96683
Waadhoeke,2017,374500,342600,76860,201140,83366,108372
Waalre,2017,89800,69700,34866,,20417,
Waalwijk,2017,375500,306100,79023,112649,155906,174351
Waddinxveen,2017,312600,249800,39136,,109177,
Wageningen,2017,173900,173900,63259,67786,74112,128369
Wassenaar,2017,163200,157200,58614,63630,43802,103201
Waterland,2017,91000,91000,29058,25894,20173,41527
Weert,2017,347600,276100,87394,99106,117826,147761
Weesp,2017,111900,111900,27807,40668,52365,53485
West Betuwe,2017,708700,468100,87969,,126384,152153
West Maas en Waal,2017,124300,121800,35148,32179,30466,52925
Westerkwartier,2017,533300,449100,114088,125211,221016,158625
Westerveld,2017,126800,111700,38232,42816,31283,65632
Westervoort,2017,,,22692,10891,13346,27797
Westerwolde,2017,,,55158,,54901,
Westland,2017,2595600,2585500,151534,,605422,
Weststellingwerf,2017,165400,134800,46270,48294,46390,70896
Westvoorne,2017,173500,173500,29041,121800,36110,41987
Wierden,2017,167300,133000,43133,48574,39977,63163
Wijchen,2017,250800,206100,66425,89492,76178,104608
Wijdemeren,2017,108400,108400,46168,43824,33988,70603
Wijk bij Duurstede,2017,93000,93000,37972,30177,29716,54414
Winterswijk,2017,154500,154500,51229,62343,53863,87305
Woensdrecht,2017,201900,153900,40488,,60306,75324
Woerden,2017,450900,291200,77955,,93263,145217
Wormerland,2017,141200,102400,24567,38368,46990,34516
Woudenberg,2017,78500,63400,20246,18495,20481,34015
Zaanstad,2017,856600,817600,224668,399042,295985,380821
Zaltbommel,2017,614000,565800,45170,346921,145479,87521
Zandvoort,2017,68100,68100,34975,32767,25695,58409
Zeewolde,2017,211300,180500,27493,33165,81751,75519
Zeist,2017,340500,287000,112256,120526,106697,209687
Zevenaar,2017,342800,295900,73001,,99533,
Zoetermeer,2017,507800,452700,174059,154430,203352,311794
Zoeterwoude,2017,,,12589,,33687,
Zuidplas,2017,520400,431400,61234,267377,117533,100983
Zundert,2017,127900,127900,42540,,47722,63229
Zutphen,2017,231600,231600,74443,84766,91846,131072
Zwartewaterland,2017,195600,195600,34592,70707,86480,56764
Zwijndrecht,2017,294200,267400,70629,136689,81791,114564
Zwolle,2017,734400,640200,182221,220987,269795,389709
Aa en Hunze,2018,,,51826,,37319,82624
Aalsmeer,2018,225500,225500,48595,,93254,
Aalten,2018,126100,126100,44728,46504,42857,64967
Achtkarspelen,2018,158800,158800,47924,64752,51192,67063
